Delivery Start (CET);Delivery End (CET);NO2 NO2->DK1 Export (MW);NO2 DK1->NO2 Import (MW);NO2 NO2->GER Export (MW);NO2 GER->NO2 Import (MW);NO2 NO2->NL Export (MW);NO2 NL->NO2 Import (MW);NO2 NO2->NO1 Export (MW);NO2 NO1->NO2 Import (MW);NO2 NO2->NO5 Export (MW);NO2 NO5->NO2 Import (MW);NO2 Total Export (MW);NO2 Total Import (MW);NO2 Total Net Position (MW)
01.01.2025 00:00:00;01.01.2025 01:00:00;0;1631.3;0;1119.2;0;619.5;747;0;197.8;0;944.8;3370;2425.2
01.01.2025 01:00:00;01.01.2025 02:00:00;0;1631.3;0;1119.2;0;619.5;986.1;0;282.7;0;1268.8;3370;2101.2
01.01.2025 02:00:00;01.01.2025 03:00:00;0;1626.8;0;1119.2;0;309.8;701.7;0;148.7;0;850.4;3055.8;2205.4
01.01.2025 03:00:00;01.01.2025 04:00:00;0;1341.2;0;1119.2;0;0;541.8;0;79.5;0;621.3;2460.4;1839.1
01.01.2025 04:00:00;01.01.2025 05:00:00;0;1259.7;0;951;320;0;59.2;0;0;81;379.2;2291.7;1912.5
01.01.2025 05:00:00;01.01.2025 06:00:00;0;1194.3;0;464;0;0;0;88.4;0;180.2;0;1926.9;1926.9
01.01.2025 06:00:00;01.01.2025 07:00:00;0;1631.3;0;1026;0;309.8;1200.8;0;299.7;0;1500.5;2967.1;1466.6
01.01.2025 07:00:00;01.01.2025 08:00:00;0;1631.3;0;1119.2;0;619.5;1230.3;0;270;0;1500.3;3370;1869.7
01.01.2025 08:00:00;01.01.2025 09:00:00;0;1631.3;0;1119.2;0;587.8;1030.3;0;194;0;1224.3;3338.3;2114
01.01.2025 09:00:00;01.01.2025 10:00:00;0;1631.3;0;1119.2;0;278;486.4;0;0;21;486.4;3049.5;2563.1
01.01.2025 10:00:00;01.01.2025 11:00:00;0;1631.3;0;1119.2;32.8;0;231.3;0;0;173.3;264.1;2923.8;2659.7
01.01.2025 11:00:00;01.01.2025 12:00:00;0;1631.3;0;1119.2;352.8;0;335.2;0;0;161.4;688;2911.9;2223.9
01.01.2025 12:00:00;01.01.2025 13:00:00;0;1631.3;0;1119.2;640;0;436.2;0;0;125.1;1076.2;2875.6;1799.4
01.01.2025 13:00:00;01.01.2025 14:00:00;0;1631.3;0;1119.2;640;0;430.4;0;0;116.3;1070.4;2866.8;1796.4
01.01.2025 14:00:00;01.01.2025 15:00:00;0;1631.3;0;1119.2;640;0;382.6;0;0;132.2;1022.6;2882.7;1860.1
01.01.2025 15:00:00;01.01.2025 16:00:00;0;1631.3;0;1119.2;640;0;343.8;0;0;183.2;983.8;2933.7;1949.9
01.01.2025 16:00:00;01.01.2025 17:00:00;0;1631.3;0;1119.2;638;0;293.1;0;0;231.8;931.1;2982.3;2051.2
01.01.2025 17:00:00;01.01.2025 18:00:00;0;1631.3;0;1119.2;640;0;320.4;0;0;260.3;960.4;3010.8;2050.4
01.01.2025 18:00:00;01.01.2025 19:00:00;0;1631.3;0;1119.2;640;0;173.8;0;0;210.3;813.8;2960.8;2147
01.01.2025 19:00:00;01.01.2025 20:00:00;0;1631.3;0;1119.2;640;0;138.1;0;0;200.4;778.1;2950.9;2172.8
01.01.2025 20:00:00;01.01.2025 21:00:00;0;1631.3;0;1119.2;640;0;173.9;0;0;156;813.9;2906.5;2092.6
01.01.2025 21:00:00;01.01.2025 22:00:00;0;1631.3;0;1119.2;640;0;245.5;0;0;140.5;885.5;2891;2005.5
01.01.2025 22:00:00;01.01.2025 23:00:00;0;1631.3;0;1119.2;640;0;193.4;0;0;136.2;833.4;2886.7;2053.3
01.01.2025 23:00:00;02.01.2025 00:00:00;0;1631.3;0;1119.2;640;0;141.3;0;0;136.5;781.3;2887;2105.7
02.01.2025 00:00:00;02.01.2025 01:00:00;0;1631.3;0;1119.2;640;0;234.8;0;0;48;874.8;2798.5;1923.7
02.01.2025 01:00:00;02.01.2025 02:00:00;0;1631.3;0;1119.2;640;0;223.6;0;0;69.2;863.6;2819.7;1956.1
02.01.2025 02:00:00;02.01.2025 03:00:00;0;1631.3;0;1119.2;640;0;219.7;0;0;65.3;859.7;2815.8;1956.1
02.01.2025 03:00:00;02.01.2025 04:00:00;0;1194.3;0;1119.2;640;0;101.1;0;0;128.3;741.1;2441.8;1700.7
02.01.2025 04:00:00;02.01.2025 05:00:00;0;757.4;0;519.4;640;0;0;315.8;0;367.5;640;1960.1;1320.1
02.01.2025 05:00:00;02.01.2025 06:00:00;0;320.4;83;0;640;0;462.7;0;0;343.5;1185.7;663.9;-521.8
02.01.2025 06:00:00;02.01.2025 07:00:00;120;0;702;0;640;0;979.9;0;0;541.3;2441.9;541.3;-1900.6
02.01.2025 07:00:00;02.01.2025 08:00:00;570;0;1021;0;640;0;1130.9;0;0;691.2;3361.9;691.2;-2670.7
02.01.2025 08:00:00;02.01.2025 09:00:00;1020;0;1011;0;640;0;753.9;0;0;714.5;3424.9;714.5;-2710.4
02.01.2025 09:00:00;02.01.2025 10:00:00;1470;0;1021;0;640;0;656.9;0;0;740.9;3787.9;740.9;-3047
02.01.2025 10:00:00;02.01.2025 11:00:00;1581.1;0;1021;0;640;0;646;0;0;752.3;3888.1;752.3;-3135.8
02.01.2025 11:00:00;02.01.2025 12:00:00;1605.3;0;1031;0;555;0;802.3;0;0;728.7;3993.6;728.7;-3264.9
02.01.2025 12:00:00;02.01.2025 13:00:00;1572.4;0;1052;0;640;0;852.5;0;0;757;4116.9;757;-3359.9
02.01.2025 13:00:00;02.01.2025 14:00:00;1386.5;0;1083;0;619.5;0;1035;0;0;755;4124;755;-3369
02.01.2025 14:00:00;02.01.2025 15:00:00;1560.6;0;1124;0;640;0;875.1;0;0;766;4199.7;766;-3433.7
02.01.2025 15:00:00;02.01.2025 16:00:00;1450.7;0;1155;0;640;0;880.5;0;0;766;4126.2;766;-3360.2
02.01.2025 16:00:00;02.01.2025 17:00:00;1680;0;1155;0;640;0;438.7;0;0;761.5;3913.7;761.5;-3152.2
02.01.2025 17:00:00;02.01.2025 18:00:00;1582.3;0;1155;0;640;0;540.5;0;0;762.8;3917.8;762.8;-3155
02.01.2025 18:00:00;02.01.2025 19:00:00;1680;0;1124;0;640;0;461.8;0;0;782.3;3905.8;782.3;-3123.5
02.01.2025 19:00:00;02.01.2025 20:00:00;1250.1;0;1093;0;640;0;1041.9;0;0;761;4025;761;-3264
02.01.2025 20:00:00;02.01.2025 21:00:00;1111.9;0;1093;0;640;0;1117.3;0;0;759;3962.2;759;-3203.2
02.01.2025 21:00:00;02.01.2025 22:00:00;1067;0;1073;0;640;0;1196.9;0;0;759;3976.9;759;-3217.9
02.01.2025 22:00:00;02.01.2025 23:00:00;1377;0;1093;0;640;0;901.6;0;0;771;4011.6;771;-3240.6
02.01.2025 23:00:00;03.01.2025 00:00:00;1525.6;0;1093;0;640;0;707.7;0;0;764;3966.3;764;-3202.3
03.01.2025 00:00:00;03.01.2025 01:00:00;1680;0;1155;0;640;0;570.8;0;0;610;4045.8;610;-3435.8
03.01.2025 01:00:00;03.01.2025 02:00:00;1230;0;1155;0;640;0;391.2;0;0;530.3;3416.2;530.3;-2885.9
03.01.2025 02:00:00;03.01.2025 03:00:00;780;0;1155;0;640;0;268.3;0;0;473.2;2843.3;473.2;-2370.1
03.01.2025 03:00:00;03.01.2025 04:00:00;330;0;1155;0;640;0;183.5;0;0;380;2308.5;380;-1928.5
03.01.2025 04:00:00;03.01.2025 05:00:00;0;73.3;1124;0;640;0;254.1;0;0;314.8;2018.1;388.1;-1630
03.01.2025 05:00:00;03.01.2025 06:00:00;0;69.6;1052;0;640;0;409.8;0;0;338.5;2101.8;408.1;-1693.7
03.01.2025 06:00:00;03.01.2025 07:00:00;0;0;1124;0;640;0;1013.5;0;0;405.3;2777.5;405.3;-2372.2
03.01.2025 07:00:00;03.01.2025 08:00:00;371.3;0;1052;0;640;0;1324.2;0;0;615.7;3387.5;615.7;-2771.8
03.01.2025 08:00:00;03.01.2025 09:00:00;747.5;0;1052;0;640;0;1017.8;0;0;650.6;3457.3;650.6;-2806.7
03.01.2025 09:00:00;03.01.2025 10:00:00;1197.5;0;1052;0;640;0;655;0;0;676.8;3544.5;676.8;-2867.7
03.01.2025 10:00:00;03.01.2025 11:00:00;1647.5;0;1052;0;640;0;306.4;0;0;739.8;3645.9;739.8;-2906.1
03.01.2025 11:00:00;03.01.2025 12:00:00;1680;0;1062;0;640;0;343.4;0;0;736.1;3725.4;736.1;-2989.3
03.01.2025 12:00:00;03.01.2025 13:00:00;1680;0;1062;0;640;0;245.4;0;0;728;3627.4;728;-2899.4
03.01.2025 13:00:00;03.01.2025 14:00:00;1680;0;1155;0;640;0;40;0;0;762.5;3515;762.5;-2752.5
03.01.2025 14:00:00;03.01.2025 15:00:00;1680;0;1155;0;640;0;0;95.4;0;854;3475;949.4;-2525.6
03.01.2025 15:00:00;03.01.2025 16:00:00;1680;0;1155;0;640;0;218.6;0;0;790.6;3693.6;790.6;-2903
03.01.2025 16:00:00;03.01.2025 17:00:00;1230;0;1155;0;640;0;526.6;0;0;712.7;3551.6;712.7;-2838.9
03.01.2025 17:00:00;03.01.2025 18:00:00;1680;0;1145;0;640;0;270.1;0;0;761;3735.1;761;-2974.1
03.01.2025 18:00:00;03.01.2025 19:00:00;1680;0;1124;0;640;0;199.4;0;0;793.5;3643.4;793.5;-2849.9
03.01.2025 19:00:00;03.01.2025 20:00:00;1230;0;1052;0;640;0;695.3;0;0;750.5;3617.3;750.5;-2866.8
03.01.2025 20:00:00;03.01.2025 21:00:00;987.4;0;1104;0;640;0;842.6;0;0;805.8;3574;805.8;-2768.2
03.01.2025 21:00:00;03.01.2025 22:00:00;537.4;0;1135;0;640;0;1285.5;0;0;761;3597.9;761;-2836.9
03.01.2025 22:00:00;03.01.2025 23:00:00;521.9;0;1073;0;640;0;1406;0;0;754;3640.9;754;-2886.9
03.01.2025 23:00:00;04.01.2025 00:00:00;971.9;0;1083;0;640;0;1031.5;0;0;743;3726.4;743;-2983.4
04.01.2025 00:00:00;04.01.2025 01:00:00;1421.9;0;1001;0;640;0;741.8;0;0;775;3804.7;775;-3029.7
04.01.2025 01:00:00;04.01.2025 02:00:00;1680;0;1001;0;640;0;299.5;0;0;830.6;3620.5;830.6;-2789.9
04.01.2025 02:00:00;04.01.2025 03:00:00;1680;0;1001;0;640;0;88.5;0;0;837;3409.5;837;-2572.5
04.01.2025 03:00:00;04.01.2025 04:00:00;1680;0;1001;0;640;0;79.8;0;0;790.5;3400.8;790.5;-2610.3
04.01.2025 04:00:00;04.01.2025 05:00:00;1680;0;1001;0;640;0;71;0;0;781.4;3392;781.4;-2610.6
04.01.2025 05:00:00;04.01.2025 06:00:00;1680;0;1001;0;640;0;45.2;0;0;838;3366.2;838;-2528.2
04.01.2025 06:00:00;04.01.2025 07:00:00;1680;0;1155;0;640;0;121.7;0;0;841;3596.7;841;-2755.7
04.01.2025 07:00:00;04.01.2025 08:00:00;1680;0;1155;0;640;0;277.8;0;0;795;3752.8;795;-2957.8
04.01.2025 08:00:00;04.01.2025 09:00:00;1680;0;1155;0;640;0;355.3;0;0;793;3830.3;793;-3037.3
04.01.2025 09:00:00;04.01.2025 10:00:00;1680;0;918.2;0;640;0;457.4;0;0;807;3695.6;807;-2888.6
04.01.2025 10:00:00;04.01.2025 11:00:00;1680;0;785;0;640;0;501.4;0;0;750;3606.4;750;-2856.4
04.01.2025 11:00:00;04.01.2025 12:00:00;1680;0;768.8;0;640;0;476;0;0;736;3564.8;736;-2828.8
04.01.2025 12:00:00;04.01.2025 13:00:00;1680;0;992.2;0;640;0;379.6;0;0;732;3691.8;732;-2959.8
04.01.2025 13:00:00;04.01.2025 14:00:00;1680;0;1001;0;640;0;455.6;0;0;769;3776.6;769;-3007.6
04.01.2025 14:00:00;04.01.2025 15:00:00;1680;0;990.3;0;640;0;576.1;0;0;766;3886.4;766;-3120.4
04.01.2025 15:00:00;04.01.2025 16:00:00;1680;0;948.8;0;640;0;476.7;0;0;792;3745.5;792;-2953.5
04.01.2025 16:00:00;04.01.2025 17:00:00;1680;0;1155;0;640;0;318.9;0;0;830.3;3793.9;830.3;-2963.6
04.01.2025 17:00:00;04.01.2025 18:00:00;1680;0;1155;0;640;0;146.7;0;0;819.2;3621.7;819.2;-2802.5
04.01.2025 18:00:00;04.01.2025 19:00:00;1680;0;921.2;0;640;0;434;0;0;807;3675.2;807;-2868.2
04.01.2025 19:00:00;04.01.2025 20:00:00;1680;0;1068.9;0;640;0;460.4;0;0;804;3849.3;804;-3045.3
04.01.2025 20:00:00;04.01.2025 21:00:00;1680;0;1044.1;0;640;0;484.7;0;0;800;3848.8;800;-3048.8
04.01.2025 21:00:00;04.01.2025 22:00:00;1680;0;1155;0;640;0;639.9;0;0;802.7;4114.9;802.7;-3312.2
04.01.2025 22:00:00;04.01.2025 23:00:00;1680;0;1155;0;640;0;684.4;0;0;796;4159.4;796;-3363.4
04.01.2025 23:00:00;05.01.2025 00:00:00;1680;0;1155;0;640;0;569.4;0;0;836;4044.4;836;-3208.4
05.01.2025 00:00:00;05.01.2025 01:00:00;1680;0;949;0;640;0;627.1;0;0;833;3896.1;833;-3063.1
05.01.2025 01:00:00;05.01.2025 02:00:00;1680;0;949;0;640;0;765;0;0;838;4034;838;-3196
05.01.2025 02:00:00;05.01.2025 03:00:00;1680;0;949;0;640;0;853.2;0;0;831;4122.2;831;-3291.2
05.01.2025 03:00:00;05.01.2025 04:00:00;1680;0;1011;0;640;0;854.5;0;0;826;4185.5;826;-3359.5
05.01.2025 04:00:00;05.01.2025 05:00:00;1680;0;1155;0;640;0;798.2;0;0;841;4273.2;841;-3432.2
05.01.2025 05:00:00;05.01.2025 06:00:00;1680;0;1155;0;478.4;0;1039;0;0;823;4352.4;823;-3529.4
05.01.2025 06:00:00;05.01.2025 07:00:00;1680;0;1155;0;158.4;0;1217.5;0;0;781.3;4210.9;781.3;-3429.6
05.01.2025 07:00:00;05.01.2025 08:00:00;1680;0;1155;0;0;156.4;1312.5;0;0;766;4147.5;922.4;-3225.1
05.01.2025 08:00:00;05.01.2025 09:00:00;1680;0;1155;0;103.6;0;963;0;0;771.3;3901.6;771.3;-3130.3
05.01.2025 09:00:00;05.01.2025 10:00:00;1680;0;1155;0;320;0;601;0;0;785.1;3756;785.1;-2970.9
05.01.2025 10:00:00;05.01.2025 11:00:00;1680;0;1135;0;640;0;405.7;0;0;813.6;3860.7;813.6;-3047.1
05.01.2025 11:00:00;05.01.2025 12:00:00;1680;0;1011;0;512.2;0;590.9;0;0;779.3;3794.1;779.3;-3014.8
05.01.2025 12:00:00;05.01.2025 13:00:00;1680;0;959;0;640;0;509.2;0;0;800.6;3788.2;800.6;-2987.6
05.01.2025 13:00:00;05.01.2025 14:00:00;1680;0;949;0;320;0;853.8;0;0;731.4;3802.8;731.4;-3071.4
05.01.2025 14:00:00;05.01.2025 15:00:00;1680;0;939;0;214.4;0;795;0;0;726.2;3628.4;726.2;-2902.2
05.01.2025 15:00:00;05.01.2025 16:00:00;1680;0;918;0;534.4;0;157.2;0;0;786;3289.6;786;-2503.6
05.01.2025 16:00:00;05.01.2025 17:00:00;1680;0;918;0;511.8;0;254.8;0;0;748.1;3364.6;748.1;-2616.5
05.01.2025 17:00:00;05.01.2025 18:00:00;1669;0;908;0;191.8;0;789;0;0;693.4;3557.8;693.4;-2864.4
05.01.2025 18:00:00;05.01.2025 19:00:00;1680;0;897;0;417.4;0;817.3;0;0;712.2;3811.7;712.2;-3099.5
05.01.2025 19:00:00;05.01.2025 20:00:00;1680;0;918;0;640;0;359.7;0;0;777.5;3597.7;777.5;-2820.2
05.01.2025 20:00:00;05.01.2025 21:00:00;1230;0;338;0;320;0;771.9;0;0;582.8;2659.9;582.8;-2077.1
05.01.2025 21:00:00;05.01.2025 22:00:00;868.2;0;740.1;0;0;0;817.6;0;0;552.1;2425.9;552.1;-1873.8
05.01.2025 22:00:00;05.01.2025 23:00:00;418.2;0;160.1;0;0;309.8;1288.6;0;0;385.4;1866.9;695.2;-1171.7
05.01.2025 23:00:00;06.01.2025 00:00:00;0;30.8;0;406.9;0;619.5;290.2;0;0;349.4;290.2;1406.6;1116.4
06.01.2025 00:00:00;06.01.2025 01:00:00;0;467.8;0;1006.7;0;619.5;730.1;0;0;206.1;730.1;2300.1;1570
06.01.2025 01:00:00;06.01.2025 02:00:00;0;904.8;0;1119.2;0;619.5;738.1;0;0;11.9;738.1;2655.4;1917.3
06.01.2025 02:00:00;06.01.2025 03:00:00;0;1341.7;0;1119.2;0;619.5;944.9;0;73.5;0;1018.4;3080.4;2062
06.01.2025 03:00:00;06.01.2025 04:00:00;0;1631.3;0;722.6;0;619.5;638.9;0;0;91.9;638.9;3065.3;2426.4
06.01.2025 04:00:00;06.01.2025 05:00:00;0;1631.3;0;788.3;0;619.5;786.6;0;0;18.5;786.6;3057.6;2271
06.01.2025 05:00:00;06.01.2025 06:00:00;0;1631.3;0;1119.2;0;309.8;1441.5;0;208.8;0;1650.3;3060.3;1410
06.01.2025 06:00:00;06.01.2025 07:00:00;0;1580.2;0;1119.2;0;0;1303;0;48;0;1351;2699.4;1348.4
06.01.2025 07:00:00;06.01.2025 08:00:00;0;1143.3;0;562;320;0;2175;0;0;183.5;2495;1888.8;-606.2
06.01.2025 08:00:00;06.01.2025 09:00:00;0;706.3;0;0;640;0;2133.5;0;0;291.9;2773.5;998.2;-1775.3
06.01.2025 09:00:00;06.01.2025 10:00:00;0;890.3;0;599.8;640;0;2496.6;0;0;221.1;3136.6;1711.2;-1425.4
06.01.2025 10:00:00;06.01.2025 11:00:00;0;1327.2;0;259;640;0;2358.2;0;0;251.3;2998.2;1837.5;-1160.7
06.01.2025 11:00:00;06.01.2025 12:00:00;0;1429.4;0;493.4;640;0;2145.5;0;0;276.5;2785.5;2199.3;-586.2
06.01.2025 12:00:00;06.01.2025 13:00:00;0;1631.3;0;1093.2;640;0;2110.2;0;0;246.6;2750.2;2971.1;220.9
06.01.2025 13:00:00;06.01.2025 14:00:00;0;1631.3;0;1119.2;640;0;1556;0;0;201.7;2196;2952.2;756.2
06.01.2025 14:00:00;06.01.2025 15:00:00;0;1631.3;0;1119.2;640;0;1229.1;0;0;214.7;1869.1;2965.2;1096.1
06.01.2025 15:00:00;06.01.2025 16:00:00;0;1631.3;0;1119.2;640;0;1493.6;0;0;163.2;2133.6;2913.7;780.1
06.01.2025 16:00:00;06.01.2025 17:00:00;0;1631.3;0;1119.2;640;0;1712.4;0;0;211.8;2352.4;2962.3;609.9
06.01.2025 17:00:00;06.01.2025 18:00:00;0;1194.3;0;652.2;640;0;1723.2;0;0;344.4;2363.2;2190.9;-172.3
06.01.2025 18:00:00;06.01.2025 19:00:00;0;757.4;0;519.4;640;0;1107.5;0;0;466.8;1747.5;1743.6;-3.9
06.01.2025 19:00:00;06.01.2025 20:00:00;0;1107.5;0;1119.2;640;0;1246;0;0;274.7;1886;2501.4;615.4
06.01.2025 20:00:00;06.01.2025 21:00:00;0;1395.6;0;1119.2;640;0;867.9;0;0;245.2;1507.9;2760;1252.1
06.01.2025 21:00:00;06.01.2025 22:00:00;0;1631.3;0;1119.2;640;0;487.6;0;0;181.4;1127.6;2931.9;1804.3
06.01.2025 22:00:00;06.01.2025 23:00:00;0;1194.3;0;868.6;640;0;144.5;0;0;272.1;784.5;2335;1550.5
06.01.2025 23:00:00;07.01.2025 00:00:00;0;1631.3;0;1119.2;640;0;484.2;0;0;46.6;1124.2;2797.1;1672.9
07.01.2025 00:00:00;07.01.2025 01:00:00;0;1626.6;0;1119.2;320;0;216.5;0;0;53.1;536.5;2798.9;2262.4
07.01.2025 01:00:00;07.01.2025 02:00:00;0;1631.3;0;1119.2;0;0;144.2;0;0;42.6;144.2;2793.1;2648.9
07.01.2025 02:00:00;07.01.2025 03:00:00;0;1631.3;0;1119.2;0;309.8;263.2;0;21.5;0;284.7;3060.3;2775.6
07.01.2025 03:00:00;07.01.2025 04:00:00;0;1631.3;0;1119.2;0;619.5;407.6;0;87.9;0;495.5;3370;2874.5
07.01.2025 04:00:00;07.01.2025 05:00:00;0;1293.2;0;776.2;0;309.8;124.4;0;2.4;0;126.8;2379.2;2252.4
07.01.2025 05:00:00;07.01.2025 06:00:00;0;856.2;0;214.1;0;0;0;459.5;0;324.2;0;1854;1854
07.01.2025 06:00:00;07.01.2025 07:00:00;0;419.3;359;0;320;0;0;585.3;0;537.8;679;1542.4;863.4
07.01.2025 07:00:00;07.01.2025 08:00:00;18.2;0;939;0;640;0;0;130.8;0;492.2;1597.2;623;-974.2
07.01.2025 08:00:00;07.01.2025 09:00:00;0;0;949;0;640;0;37.4;0;0;485.9;1626.4;485.9;-1140.5
07.01.2025 09:00:00;07.01.2025 10:00:00;0;0;959;0;640;0;0;213.2;0;532.6;1599;745.8;-853.2
07.01.2025 10:00:00;07.01.2025 11:00:00;0;45;959;0;640;0;0;202.7;0;537.2;1599;784.9;-814.1
07.01.2025 11:00:00;07.01.2025 12:00:00;0;0;970;0;640;0;0;627.5;0;716.3;1610;1343.8;-266.2
07.01.2025 12:00:00;07.01.2025 13:00:00;0;28;970;0;640;0;0;694.8;0;736.7;1610;1459.5;-150.5
07.01.2025 13:00:00;07.01.2025 14:00:00;0;190.5;970;0;640;0;0;661.8;0;724.3;1610;1576.6;-33.4
07.01.2025 14:00:00;07.01.2025 15:00:00;0;435.1;970;0;640;0;0;549.9;0;697;1610;1682;72
07.01.2025 15:00:00;07.01.2025 16:00:00;0;241.1;980;0;640;0;0;790.6;0;785.2;1620;1816.9;196.9
07.01.2025 16:00:00;07.01.2025 17:00:00;0;0;970;0;640;0;0;757.5;0;814;1610;1571.5;-38.5
07.01.2025 17:00:00;07.01.2025 18:00:00;0;103.5;970;0;640;0;0;489;0;811.5;1610;1404;-206
07.01.2025 18:00:00;07.01.2025 19:00:00;0;0;970;0;640;0;0;751.7;0;829.8;1610;1581.5;-28.5
07.01.2025 19:00:00;07.01.2025 20:00:00;0;250.1;1021;0;640;0;0;905.7;0;785.5;1661;1941.3;280.3
07.01.2025 20:00:00;07.01.2025 21:00:00;0;544.7;949;0;640;0;0;800.7;0;711.2;1589;2056.6;467.6
07.01.2025 21:00:00;07.01.2025 22:00:00;0;551.3;949;0;640;0;0;901.5;0;736.7;1589;2189.5;600.5
07.01.2025 22:00:00;07.01.2025 23:00:00;0;537.7;970;0;640;0;0;1050.7;0;726.6;1610;2315;705
07.01.2025 23:00:00;08.01.2025 00:00:00;0;113.1;970;0;640;0;0;1245.7;0;763.2;1610;2122;512
08.01.2025 00:00:00;08.01.2025 01:00:00;0;550.1;949;0;640;0;0;331.8;0;405.9;1589;1287.8;-301.2
08.01.2025 01:00:00;08.01.2025 02:00:00;0;649.9;959;0;640;0;0;335.9;0;376.2;1599;1362;-237
08.01.2025 02:00:00;08.01.2025 03:00:00;0;565.7;949;0;640;0;0;419;0;400.9;1589;1385.6;-203.4
08.01.2025 03:00:00;08.01.2025 04:00:00;0;715.5;949;0;640;0;0;421.1;0;391.7;1589;1528.3;-60.7
08.01.2025 04:00:00;08.01.2025 05:00:00;0;682.8;949;0;640;0;0;505.6;0;427.5;1589;1615.9;26.9
08.01.2025 05:00:00;08.01.2025 06:00:00;0;707.8;949;0;640;0;0;199.7;0;446.5;1589;1354;-235
08.01.2025 06:00:00;08.01.2025 07:00:00;0;609.8;949;0;640;0;234.6;0;0;619.4;1823.6;1229.2;-594.4
08.01.2025 07:00:00;08.01.2025 08:00:00;0;172.8;1021;0;640;0;416.8;0;0;705.7;2077.8;878.5;-1199.3
08.01.2025 08:00:00;08.01.2025 09:00:00;0;0;939;0;640;0;631.3;0;0;646.3;2210.3;646.3;-1564
08.01.2025 09:00:00;08.01.2025 10:00:00;308;0;949;0;640;0;527.7;0;0;607.8;2424.7;607.8;-1816.9
08.01.2025 10:00:00;08.01.2025 11:00:00;509.4;0;949;0;640;0;456.4;0;0;616.2;2554.8;616.2;-1938.6
08.01.2025 11:00:00;08.01.2025 12:00:00;708.4;0;949;0;640;0;469.1;0;0;615.8;2766.5;615.8;-2150.7
08.01.2025 12:00:00;08.01.2025 13:00:00;475.7;0;939;0;640;0;757.2;0;0;569.7;2811.9;569.7;-2242.2
08.01.2025 13:00:00;08.01.2025 14:00:00;539;0;949;0;640;0;762.6;0;0;572.7;2890.6;572.7;-2317.9
08.01.2025 14:00:00;08.01.2025 15:00:00;847.6;0;939;0;640;0;545.4;0;0;630;2972;630;-2342
08.01.2025 15:00:00;08.01.2025 16:00:00;868.8;0;949;0;640;0;606.7;0;0;699.3;3064.5;699.3;-2365.2
08.01.2025 16:00:00;08.01.2025 17:00:00;1244.3;0;949;0;640;0;268.7;0;0;721.7;3102;721.7;-2380.3
08.01.2025 17:00:00;08.01.2025 18:00:00;1586.3;0;959;0;640;0;0;30.8;0;771.6;3185.3;802.4;-2382.9
08.01.2025 18:00:00;08.01.2025 19:00:00;1554.4;0;970;0;640;0;84.1;0;0;751.4;3248.5;751.4;-2497.1
08.01.2025 19:00:00;08.01.2025 20:00:00;1680;0;980;0;640;0;0;30.9;0;780.6;3300;811.5;-2488.5
08.01.2025 20:00:00;08.01.2025 21:00:00;1314.6;0;980;0;640;0;316.5;0;0;744.5;3251.1;744.5;-2506.6
08.01.2025 21:00:00;08.01.2025 22:00:00;1444;0;990;0;640;0;221.9;0;0;791;3295.9;791;-2504.9
08.01.2025 22:00:00;08.01.2025 23:00:00;1497.3;0;990;0;640;0;246.1;0;0;776;3373.4;776;-2597.4
08.01.2025 23:00:00;09.01.2025 00:00:00;1680;0;990;0;640;0;0;0.8;0;804;3310;804.8;-2505.2
09.01.2025 00:00:00;09.01.2025 01:00:00;1680;0;1031;0;640;0;0;134.5;0;754.2;3351;888.7;-2462.3
09.01.2025 01:00:00;09.01.2025 02:00:00;1680;0;1052;0;640;0;0;178.8;0;722.3;3372;901.1;-2470.9
09.01.2025 02:00:00;09.01.2025 03:00:00;1680;0;1093;0;640;0;0;139.2;0;687.1;3413;826.3;-2586.7
09.01.2025 03:00:00;09.01.2025 04:00:00;1680;0;1155;0;640;0;0;123.2;0;713.6;3475;836.8;-2638.2
09.01.2025 04:00:00;09.01.2025 05:00:00;1680;0;1155;0;640;0;0;43.4;0;779.9;3475;823.3;-2651.7
09.01.2025 05:00:00;09.01.2025 06:00:00;1680;0;619;0;640;0;452.7;0;0;737;3391.7;737;-2654.7
09.01.2025 06:00:00;09.01.2025 07:00:00;1680;0;0;0;640;0;797.2;0;0;759;3117.2;759;-2358.2
09.01.2025 07:00:00;09.01.2025 08:00:00;1680;0;565;0;626.7;0;768.7;0;0;735.9;3640.4;735.9;-2904.5
09.01.2025 08:00:00;09.01.2025 09:00:00;1680;0;519;0;306.7;0;985;0;0;693.4;3490.7;693.4;-2797.3
09.01.2025 09:00:00;09.01.2025 10:00:00;1680;0;565;0;0;0;702.6;0;0;753.5;2947.6;753.5;-2194.1
09.01.2025 10:00:00;09.01.2025 11:00:00;1680;0;565;0;0;0;760.7;0;0;735.2;3005.7;735.2;-2270.5
09.01.2025 11:00:00;09.01.2025 12:00:00;1680;0;565;0;320;0;992.7;0;0;689.1;3557.7;689.1;-2868.6
09.01.2025 12:00:00;09.01.2025 13:00:00;1680;0;565;0;640;0;1246.5;0;0;648.9;4131.5;648.9;-3482.6
09.01.2025 13:00:00;09.01.2025 14:00:00;1680;0;565;0;320;0;1534;0;0;595.2;4099;595.2;-3503.8
09.01.2025 14:00:00;09.01.2025 15:00:00;1680;0;565;0;0;0;1929.9;0;0;527.2;4174.9;527.2;-3647.7
09.01.2025 15:00:00;09.01.2025 16:00:00;1498.5;0;565;0;0;0;1893.5;0;0;516.7;3957;516.7;-3440.3
